,count,mean,std,min,25%,50%,75%,max
Age_numeric,55847.0,36.957741687109426,14.825548044014624,15.0,25.0,35.0,45.0,98.0
gender_male,85341.0,0.49780293176784896,0.49999810228965486,0.0,0.0,0.0,1.0,1.0
education_numeric,85341.0,1.6527108892560434,0.7327825729532159,1.0,1.0,1.0,2.0,3.0
wealth_numeric,85333.0,2.6903894155836547,1.353063058913873,1.0,2.0,3.0,4.0,5.0
mobile_money_binary,85341.0,0.055459861028110756,0.22887699462955635,0.0,0.0,0.0,0.0,1.0
transactional_account_binary,85341.0,0.48628443538275856,0.4998147762337022,0.0,0.0,0.0,1.0,1.0
savings_frequency_numeric,83890.0,1.0138753129097628,1.3011980974784028,0.0,0.0,0.0,2.0,4.0
runs_out_of_money,85341.0,0.6626123434222706,0.4728211558013243,0.0,0.0,1.0,1.0,1.0
income_numeric,62592.0,34359.680286618095,47079.747162920095,7500.0,7500.0,25000.5,45000.5,472500.0
access_agents,85341.0,0.20515778828833472,0.25437863717567716,0.0,0.0,0.23006221481475264,0.2675347603483584,1.0
urban,85341.0,0.36623662717802696,0.48177804006298575,0.0,0.0,0.0,1.0,1.0
Population,85341.0,4032.9824972365145,6426.427985838466,45.9779624938965,1118.62939453125,2181.273681640625,4466.6298828125,413823.9375
FormallyIncluded,85341.0,0.5087355432910324,0.499926613462278,0.0,0.0,1.0,1.0,1.0
