Year,Gender,inclusion_rate,count
2018,Female,0.3903232965894799,13517
2018,Male,0.5118003565062389,14025
2020,Female,0.39701619175563885,14143
2020,Male,0.5220780922431866,15264
2023,Female,0.5811948940650086,15198
2023,Male,0.6476428679702895,13194
