model,auc,accuracy,f1,precision,recall
LogisticRegression,0.8672255727016256,0.7979953085492013,0.8491987480742283,0.814362875344055,0.8871481448383443
RandomForest,0.86453679331224,0.7916486958980363,0.8447338850877287,0.8087779257597008,0.8840355852651482
GradientBoosting,0.8593773765294683,0.7903506784112493,0.8413758134248488,0.8170006876997166,0.8672501256072936
