Age_numeric,gender_male,education_numeric,wealth_numeric,mobile_money_binary,transactional_account_binary,savings_frequency_numeric,runs_out_of_money,income_numeric,access_agents,urban,region_North East,region_North West,region_South East,region_South South,region_South West,year_2020,year_2023,Population
0.15378463,0.24332237,-0.24340972,0.17626171,-0.013169205,0.4114996,0.49445888,0.080341846,0.02620941,1.1641235,-0.10834217,-0.017210858,-0.024464792,0.024018038,-0.032915737,0.06282776,0.0,-0.5459936,0.43995956
0.03403532,0.09302324,-0.28447732,-0.1205379,-0.0043357145,-0.15122338,0.23800454,0.24269399,-0.120620914,-1.4668542,-0.04729354,0.021039188,0.022168856,-0.00033181935,-0.043634582,0.05362678,0.0,0.30802855,0.7058734
0.21202295,0.13604341,1.1012359,-0.41245252,-0.006658806,0.3172924,-0.13259079,0.082935095,-0.12250742,1.2721893,-0.124526456,0.0042067417,-0.0056654755,-0.057408188,-0.042617936,0.049342297,0.0,-0.3946797,0.6305903
0.19281438,0.08529165,0.10221232,-0.1168729,-0.0035595403,-0.16095243,0.39105916,0.25926533,-0.06136518,-1.6258714,-0.06655592,0.018865611,-0.022565085,0.0020002152,-0.02878798,0.055163752,0.0,0.3241875,0.6579693
0.4171198,0.15375064,0.12653656,-0.12755875,-0.011874964,0.28262663,-0.00843824,-0.11017535,-0.16708237,1.1640348,-0.11810738,0.025785116,-0.0094634155,-0.026340216,-0.042446606,0.06145332,0.0,-0.6591666,0.75916517
-0.046957966,-0.122855105,1.1424756,0.2832754,-0.0041090264,0.3945422,0.668225,-0.09491702,0.033428203,1.4114842,-0.12899676,0.008966495,-0.02621843,-0.06102734,-0.026072482,0.058022566,0.0,-0.2197519,0.3778923
0.01362756,0.074128196,0.018585937,-0.1553367,-0.004029794,-0.14256506,0.0016962977,0.08463067,-0.093590826,-1.5225948,-0.05626553,-0.029603215,-0.036694102,-0.013193087,-0.023457276,0.030248294,0.0,0.27911705,0.2612466
0.08312378,0.10044394,1.225428,-0.025147723,-0.006338904,0.36175427,0.46780577,0.10055974,-0.15253381,1.323029,-0.11214867,0.0017125629,-0.027377307,-0.050203387,-0.034941,0.029961014,0.0,-0.2643721,0.48851603
0.06305709,0.08100658,0.03543943,-0.13319094,-0.0041266917,-0.14423113,0.104815945,0.12375372,-0.027362399,-1.5175012,-0.06453091,-0.016007483,-0.013742519,-0.010504311,-0.029432563,0.054463007,0.0,0.28737065,0.43561432
-0.013913352,0.1013132,0.62024903,-0.019498488,0.19903661,0.1964622,-0.15693535,0.09733206,0.01314103,7.694854,-0.05929572,-0.0047735726,-0.0293172,-0.023512978,-0.021551229,0.030680561,0.0,-0.22114125,0.029962374
0.15388736,0.09782131,0.07591341,-0.073859654,-0.003480418,-0.1611457,-0.17920943,0.34756228,0.0037939646,-1.6178819,-0.06219612,-0.0014027996,-0.03251763,-0.0027392837,-0.024556343,0.053559575,0.0,0.32335234,0.7270946
0.048467807,0.13371105,0.038620602,-0.13502575,-0.011442192,0.31705663,-0.10406259,-0.096255966,-0.006287546,1.2214018,-0.13128781,-0.0068405913,-0.026080659,-0.025219504,-0.033275183,0.07440445,0.0,-0.61921096,0.42467344
0.13450935,0.21288261,-0.36994672,-0.18867774,-0.014556544,0.37350297,0.44200662,0.1305069,0.0922374,1.0198568,-0.10685219,-0.016188174,-0.023410106,0.007929206,-0.034501914,0.06272971,0.0,-0.67825586,0.41594326
-0.040420536,0.129392,0.09533525,0.067225486,-0.011821014,0.3332063,0.5344215,-0.07510335,-0.017170135,1.1927899,-0.12372775,0.0077833952,-0.033124525,-0.08176993,-0.016916523,-0.20627593,0.0,-0.52943265,0.14553303
-0.099917985,-0.1043493,-0.34512708,-0.35918602,-0.004878025,-0.22073437,0.19917879,0.054862786,0.462956,-1.4704859,-0.058686357,0.008842904,-0.0146593405,-0.035758488,-0.05635155,-0.7306263,0.0,0.027170883,-0.07401802
-0.03190246,0.19576757,-0.39748555,0.1938991,-0.013548385,0.41163275,0.34906778,-0.13715799,0.10648402,1.2292888,-0.07679245,-0.020506946,-0.041474942,-0.02766856,-0.012913511,-0.13258004,0.0,-0.6018225,0.048949063
-0.06595844,0.15937424,0.0032284502,0.44585347,-0.007169404,0.35782158,0.020353373,-0.060173202,0.21581659,1.2388812,-0.117529355,-0.017799297,-0.03452186,-0.07038379,-0.016521974,-0.05394243,0.0,-0.46746498,0.31145778
